Date,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
1970-04-01,-17.0386,-14.5664,-17.5565,-9.0387,-9.3362,-9.7975
1970-05-01,-10.8505,-9.6092,-10.0646,-4.1504,-4.6846,-7.3474
1970-06-01,-8.1854,-6.9265,-6.812,-3.9914,-5.0776,-5.1124
1970-07-01,5.4608,6.9849,8.4096,8.5383,9.4407,5.0788
1970-08-01,6.3246,6.4707,6.9946,4.8096,4.5487,5.2648
1970-09-01,14.0669,11.3691,13.2037,3.9374,2.1179,5.405
1970-10-01,-7.8118,-5.1416,-5.3542,-1.7997,-1.4919,-0.8336
1970-11-01,-0.3179,2.059,2.4516,5.0099,5.7448,5.3725
1970-12-01,8.1457,9.0719,9.1304,6.0963,6.2321,5.6466
1971-01-01,13.8562,11.8428,10.4257,4.527,4.5339,3.9683
1971-02-01,3.8686,3.0825,4.7754,1.6906,0.8842,2.0164
1971-03-01,5.5839,5.8492,7.7519,3.6728,3.3693,5.1365
1971-04-01,4.5493,3.2415,2.6503,4.6944,2.8388,3.6526
1971-05-01,-5.3074,-4.9441,-4.0083,-5.0061,-3.0574,-3.5113
1971-06-01,-2.4274,-1.4862,0.5337,-0.1343,1.0755,-0.0376
1971-07-01,-6.5324,-4.9431,-5.5362,-4.4751,-3.7243,-4.1925
1971-08-01,5.0711,4.3453,4.7611,5.3349,3.376,4.7874
1971-09-01,-2.3136,0.207,0.9026,-1.6024,-0.8066,0.2955
1971-10-01,-7.3127,-3.9897,-5.486,-4.6252,-4.0787,-3.2143
1971-11-01,-4.0037,-2.6088,-2.4038,-1.9408,-0.1147,1.3312
1971-12-01,12.4495,11.6676,12.5713,10.2405,8.0027,9.3144
1972-01-01,11.8256,6.7295,7.5767,2.659,0.4858,3.5333
1972-02-01,3.8002,3.0306,4.1338,1.7203,2.1377,4.6097
1972-03-01,0.22,-0.1719,1.0161,-0.747,0.5959,1.7225
1972-04-01,0.6243,0.9598,0.6138,1.6778,-0.136,0.8475
1972-05-01,-2.8316,-1.3523,-1.4336,0.2266,0.8987,3.5084
1972-06-01,-3.2275,-3.318,-2.9899,-4.1301,-2.7984,-0.5986
1972-07-01,-2.9124,-2.8669,-4.8963,-3.1763,-0.7785,1.0785
1972-08-01,1.1698,1.5312,0.6006,5.8291,4.9142,2.4779
1972-09-01,-4.2734,-2.8144,-2.4089,-1.9025,-0.2404,-0.409
1972-10-01,-1.8183,-0.6745,-1.8399,0.9591,1.9622,0.6738
1972-11-01,5.326,5.1648,5.7328,7.6144,6.3763,3.3105
1972-12-01,-2.3297,-0.8852,-1.2562,-1.7675,0.7853,2.3684
1973-01-01,-4.7364,-5.2969,-5.7293,-3.3401,-3.0551,-1.5117
1973-02-01,-7.3257,-7.4087,-9.9716,-5.106,-4.8706,-2.973
1973-03-01,-1.8272,-2.7465,-3.2605,0.2733,-0.4612,-0.4301
1973-04-01,-5.945,-5.8009,-8.7439,-4.9125,-2.7456,-5.2646
1973-05-01,-8.9746,-7.571,-8.381,-4.3104,-1.4082,-1.0062
1973-06-01,-2.8448,-3.0055,-4.8642,-1.7391,-1.5071,-0.1328
1973-07-01,13.3993,9.4932,15.8246,7.2181,4.6574,4.6842
1973-08-01,-3.8915,-4.471,-4.7677,-1.6515,-2.8942,-3.3893
1973-09-01,9.4974,9.5618,10.202,7.7804,7.9988,2.4155
1973-10-01,1.3403,0.1491,-2.6704,-0.0093,-0.6438,0.2101
1973-11-01,-17.6091,-17.967,-21.9206,-10.4207,-12.5221,-11.3628
1973-12-01,-1.4883,-2.2363,-2.3018,4.3755,3.8384,-0.3688
1974-01-01,12.2197,9.8608,8.8367,1.1794,0.1297,-1.5704
1974-02-01,1.4597,0.2406,0.3115,1.2641,1.6595,-1.3259
1974-03-01,-0.394,-0.2791,0.4404,-5.9201,-2.6816,-1.1532
1974-04-01,-6.3835,-4.8868,-4.8283,-7.3316,-4.8519,-3.1386
1974-05-01,-8.1832,-7.4072,-6.3156,-9.6598,-3.5042,-1.6285
1974-06-01,-2.5035,-1.8014,-2.7235,-2.9723,-2.2165,-1.6134
1974-07-01,-3.8554,-3.9344,-5.8909,-4.4511,-7.1016,-8.9255
1974-08-01,-7.9805,-8.168,-8.4317,-8.838,-8.2544,-8.9492
1974-09-01,-7.8908,-7.5582,-10.4518,-7.9301,-8.4792,-14.2508
1974-10-01,10.0138,8.7563,10.2648,17.744,18.2104,17.0828
1974-11-01,-3.8079,-4.79,-5.8978,-0.379,-3.5045,-5.0196
1974-12-01,-6.5067,-5.8261,-7.5224,-3.2357,-0.4151,-3.5859
1975-01-01,27.5875,26.0254,27.7177,14.897,12.076,13.2154
1975-02-01,6.4347,3.6738,3.792,4.0238,3.5541,8.9931
1975-03-01,6.1769,6.4621,9.907,3.5607,3.1437,2.3427
1975-04-01,3.6369,4.188,4.9139,4.3343,3.667,5.881
1975-05-01,8.9762,7.143,7.5863,5.6914,5.8196,5.1196
1975-06-01,8.1736,6.7373,6.4902,7.386,5.9554,3.7468
1975-07-01,-3.3708,-1.8765,-2.5283,-7.0631,-5.8854,-6.9884
1975-08-01,-5.787,-4.2049,-5.0796,-3.0098,-2.3193,-1.5036
1975-09-01,-4.043,-3.2104,-3.7006,-4.2712,-3.5845,-3.5494
1975-10-01,1.9794,1.9884,2.9557,7.2495,7.4242,5.2866
1975-11-01,1.5215,2.9553,2.415,4.849,3.1974,2.6001
1975-12-01,-0.6877,-0.8273,-1.0068,-1.5225,-0.7053,-1.3912
1976-01-01,22.0873,17.6778,18.1884,11.6605,12.2535,11.9854
1976-02-01,10.7835,7.4449,8.316,1.65,-0.0364,-1.1568
1976-03-01,2.0231,1.0407,1.5705,3.765,1.9604,3.5512
1976-04-01,-1.5635,-0.5057,-1.3937,-2.3914,0.1066,-1.7673
1976-05-01,-3.1768,-1.9254,-1.5367,-2.7692,-1.7401,0.5175
1976-06-01,4.464,3.5424,3.6231,5.3507,4.1388,4.8269
1976-07-01,0.0707,1.2433,-0.7869,0.2994,-0.7718,-0.936
1976-08-01,-2.8976,-0.9303,-2.5266,0.8482,0.2135,-0.3528
1976-09-01,2.0199,2.6265,3.3063,2.0443,2.5729,2.7177
1976-10-01,-2.544,-1.4316,-2.2758,-1.9737,-1.3347,-2.6249
1976-11-01,4.0222,2.9756,3.6548,2.1359,0.7587,-0.31
1976-12-01,10.4994,9.4392,9.5107,5.7238,5.6509,5.4948
1977-01-01,2.4891,2.493,1.6483,-4.7914,-3.6801,-4.9702
1977-02-01,-0.6563,-0.633,-0.8874,-1.7697,-1.5801,-1.8591
1977-03-01,0.0582,0.3676,0.6029,-0.2488,-1.4289,-1.3978
1977-04-01,1.7068,1.8395,1.2486,2.8235,0.5717,-0.746
1977-05-01,-0.2237,0.3142,0.0946,-1.8776,-0.5976,-1.5433
1977-06-01,7.2489,5.7553,7.3922,4.0704,4.2519,5.7471
1977-07-01,-0.4877,0.5381,0.387,-2.0509,-1.2413,-1.4687
1977-08-01,-1.4087,-0.4524,-0.1168,-1.8701,-1.4291,-1.1966
1977-09-01,0.3224,0.94,2.0255,-1.2294,0.5303,-0.0645
1977-10-01,-3.0861,-1.3244,-3.1821,-3.6048,-4.5856,-3.9054
1977-11-01,7.4672,7.6857,8.4559,4.6686,4.5759,3.4183
1977-12-01,1.8918,1.7518,2.5886,-0.3332,0.4993,0.8128
1978-01-01,-1.764,-2.5481,-4.2235,-5.3784,-5.6011,-6.3604
1978-02-01,1.934,1.9321,2.7886,-1.7661,-0.5565,-2.0255
1978-03-01,7.0932,6.4212,6.9387,3.1663,3.7505,2.1333
1978-04-01,7.1172,7.5019,9.5883,6.9988,7.5607,10.1408
1978-05-01,6.7735,5.1502,7.3408,1.7708,1.5365,1.6439
1978-06-01,1.3129,0.0742,-0.5715,-1.0953,-0.835,-2.0083
1978-07-01,4.9418,5.1224,7.3548,5.2535,5.59,5.9468
1978-08-01,8.995,7.5046,9.3109,2.129,3.4738,4.6706
1978-09-01,-0.8456,-0.478,-1.8893,-0.524,-0.9164,-0.8204
1978-10-01,-20.8286,-18.0691,-21.9357,-10.7968,-9.6879,-9.4495
1978-11-01,4.8052,5.3817,7.7483,3.5348,3.1154,2.8569
1978-12-01,2.2227,2.1112,2.7364,-0.5579,0.9633,2.9476
1979-01-01,9.8215,7.5812,8.6706,7.3513,4.3116,3.5686
1979-02-01,-1.5655,-2.0721,-3.8436,-3.1993,-2.8488,-3.1632
1979-03-01,9.5607,8.5389,10.5233,6.3142,5.3453,6.4157
1979-04-01,3.1755,2.3317,2.4636,-1.7246,0.5127,1.1454
1979-05-01,-0.128,-1.7144,-1.9864,-0.6091,-1.607,-1.8228
1979-06-01,6.3237,5.9814,5.0592,5.9888,4.2918,3.9425
1979-07-01,2.2269,3.5507,3.1157,2.1788,1.7624,0.7093
1979-08-01,7.7268,7.2627,9.1526,4.4635,6.5676,6.2755
1979-09-01,-0.493,-0.4684,-0.082,-1.0338,-0.185,0.5723
1979-10-01,-10.4059,-10.1496,-10.1707,-7.8989,-6.7042,-6.1149
1979-11-01,8.9671,6.9144,9.8612,6.3585,5.6491,5.5896
1979-12-01,7.8525,5.6437,6.5066,2.0385,2.1587,1.9932
1980-01-01,10.908,6.9163,7.1767,6.1047,5.3767,6.4366
1980-02-01,-0.4835,-2.6796,-1.8784,-0.8753,-1.0898,0.5938
1980-03-01,-19.719,-16.1861,-17.755,-11.731,-9.2739,-10.7692
1980-04-01,6.9899,6.0213,5.6736,6.7785,5.0053,3.8978
1980-05-01,7.3836,7.9674,8.5422,5.9282,5.8242,5.456
1980-06-01,4.5266,4.4959,4.7492,3.9563,2.5356,3.4387
1980-07-01,8.896,9.1625,13.1301,4.1272,6.3207,8.0108
1980-08-01,4.9567,5.8473,7.3085,-0.047,2.4731,1.7267
1980-09-01,2.9987,2.4575,5.1281,1.7301,2.9189,3.4133
1980-10-01,4.3572,3.6361,4.3205,-0.1426,1.2187,3.203
1980-11-01,7.6597,6.097,8.9193,4.934,12.1908,12.6692
1980-12-01,-4.5883,-1.655,-3.77,-0.7516,-2.6228,-4.1426
1981-01-01,-0.889,0.073,-2.0746,-0.4769,-4.2834,-6.3207
1981-02-01,0.8123,1.6367,0.9721,1.0501,3.0289,1.3117
1981-03-01,7.0945,7.1851,8.8106,8.484,4.0547,2.2889
1981-04-01,1.8236,2.5785,4.8184,-1.146,-1.0631,-2.4851
1981-05-01,2.8029,2.8997,4.7682,1.8035,0.5516,0.4407
1981-06-01,-1.7742,-0.5225,-3.2578,0.6421,-1.2095,-0.6134
1981-07-01,-1.8542,-2.0281,-3.0966,-2.0074,-0.7128,1.7519
1981-08-01,-8.1051,-6.0156,-8.7093,-5.9773,-5.0542,-6.0179
1981-09-01,-9.8979,-6.6984,-7.755,-4.6483,-4.4673,-6.6229
1981-10-01,7.5807,7.0687,9.8664,2.95,5.8339,6.9545
1981-11-01,1.1406,4.2695,3.0992,6.1362,4.0568,4.3469
1981-12-01,-2.343,-1.5123,-1.5666,-3.155,-2.219,-3.4949
1982-01-01,-2.85,-2.772,-4.3586,-0.833,-2.4788,-2.3052
1982-02-01,-3.682,-3.4901,-5.6629,-1.202,-5.0538,-6.1781
1982-03-01,-0.8977,-0.0259,-1.3849,0.7983,-0.5755,-1.479
1982-04-01,4.6932,5.2803,6.6524,3.9508,3.6129,5.1217
1982-05-01,-2.6891,-2.134,-2.6621,-3.7782,-3.2757,-2.0696
1982-06-01,-3.0546,-2.0885,-2.4248,-1.1171,-2.309,-1.7351
1982-07-01,-2.1973,-1.4976,-0.7533,-2.6721,-2.1668,-2.0417
1982-08-01,7.8047,8.2242,8.6603,15.2951,12.77,10.6516
1982-09-01,2.4769,4.6098,4.5875,0.6562,0.8599,2.8302
1982-10-01,14.0348,12.5136,15.3157,12.1931,11.2664,11.4887
1982-11-01,10.3736,8.2812,9.3166,5.6737,4.2387,4.7932
1982-12-01,1.2842,0.7895,1.2557,1.8916,0.3307,1.8999
1983-01-01,9.1335,7.1235,6.1834,2.8129,4.5524,2.6643
1983-02-01,5.2869,5.4874,6.0199,4.6529,2.271,2.8807
1983-03-01,4.3231,4.9905,4.3744,3.9379,2.9639,3.5536
1983-04-01,8.2392,7.047,8.185,7.4312,7.0615,7.2721
1983-05-01,8.671,5.5719,5.754,1.1355,-0.9127,0.3718
1983-06-01,4.3706,4.4083,4.9943,0.5206,3.6246,5.0886
1983-07-01,-4.0839,-1.4575,-2.5279,-2.266,-3.2477,-4.1023
1983-08-01,-4.2468,-2.4279,-3.1172,0.4304,2.0318,0.3242
1983-09-01,-0.752,3.5311,2.0266,2.0289,1.5724,1.7343
1983-10-01,-6.6681,-4.3839,-6.9076,-0.9733,-1.8467,-2.2715
1983-11-01,3.8154,4.8991,4.7333,4.3559,2.1812,2.1044
1983-12-01,-1.9639,-1.3274,-1.5694,-2.4917,-1.3366,0.3872
1984-01-01,-0.2175,-1.4828,-2.1932,-2.7153,0.8272,-2.525
1984-02-01,-5.7551,-4.8281,-5.7518,-5.453,-3.1023,-3.6615
1984-03-01,0.9556,0.9809,1.068,3.2806,0.6131,1.2474
1984-04-01,-2.1641,-0.1344,0.3961,-3.2258,1.974,0.8853
1984-05-01,-6.3078,-4.5141,-4.9198,-7.441,-4.9431,-4.1137
1984-06-01,1.2839,2.8168,4.2114,-0.036,3.6952,3.3705
1984-07-01,-6.7793,-3.5374,-2.6247,-3.5805,-1.9471,-0.6404
1984-08-01,11.5383,11.4654,11.9236,12.8783,10.9929,11.1271
1984-09-01,-1.7798,0.1383,-0.0431,-0.7076,-0.224,0.2988
1984-10-01,-2.5046,-1.0364,-0.1935,0.8334,-0.3246,0.8778
1984-11-01,-4.215,-1.6135,-1.0919,0.0745,-0.5474,-1.6021
1984-12-01,0.4642,2.3295,2.7509,2.5004,2.2976,2.8372
1985-01-01,13.4612,11.2074,12.0017,8.7605,7.4483,8.4418
1985-02-01,2.736,2.3933,3.1594,0.0881,1.6319,2.2408
1985-03-01,-3.5561,-0.811,-1.0892,-0.3612,0.4288,-0.3621
1985-04-01,-2.0335,-1.012,0.962,-0.6917,0.0638,-0.5783
1985-05-01,2.3446,3.8999,5.1254,6.1709,6.2231,6.0515
1985-06-01,-0.6913,2.1826,3.8174,2.095,2.0841,1.104
1985-07-01,2.8294,1.9027,2.4773,-0.2126,-0.6854,-0.6972
1985-08-01,-1.017,-0.5963,-0.9407,-0.334,-0.2638,-0.6017
1985-09-01,-6.6734,-4.6907,-5.6222,-4.5086,-3.5353,-3.2789
1985-10-01,2.1438,3.799,4.0647,5.192,4.588,5.0605
1985-11-01,6.8408,6.8338,7.9839,7.2213,7.4423,6.7419
1985-12-01,3.6195,4.45,4.6508,3.9915,4.6659,4.9433
1986-01-01,2.2729,1.1328,2.8864,4.4827,0.4416,-0.1339
1986-02-01,5.5746,6.9585,8.6183,8.6043,7.635,7.6846
1986-03-01,3.8924,5.5397,4.606,4.8452,4.9941,6.5449
1986-04-01,1.0294,1.7612,2.2061,-4.8734,-0.6565,-0.2277
1986-05-01,2.543,4.44,5.0952,4.4329,4.9645,6.1421
1986-06-01,-0.9116,0.9857,1.2771,0.3813,2.3112,1.7946
1986-07-01,-10.4439,-7.8373,-9.2056,-4.4065,-4.1917,-6.7249
1986-08-01,3.0552,4.2395,2.0453,8.8071,7.2803,6.4972
1986-09-01,-6.107,-5.7251,-6.8695,-8.7709,-8.7282,-8.1688
1986-10-01,3.0147,3.0754,4.1002,5.9254,6.3852,4.7379
1986-11-01,-0.8396,0.4045,0.0504,0.8059,2.2671,2.0861
1986-12-01,-3.7358,-2.4232,-2.4011,-3.0211,-2.6059,-2.7767
1987-01-01,11.2765,11.7768,11.6101,13.4368,12.3171,13.4495
1987-02-01,8.6405,6.4832,8.2653,5.6792,3.4573,4.5295
1987-03-01,2.6201,3.0445,1.7769,0.0944,1.0956,3.6551
1987-04-01,-1.6208,-3.8382,-3.0977,-1.4636,-2.159,-0.9664
1987-05-01,0.0466,0.2524,-0.4318,-0.728,1.0982,0.7776
1987-06-01,1.1171,3.0106,3.0076,3.8168,4.7689,5.3204
1987-07-01,3.1391,3.6642,2.9632,6.2718,3.1008,5.2361
1987-08-01,1.7539,3.381,4.4165,3.2823,4.0163,4.6935
1987-09-01,-1.7273,-1.9906,-1.7624,-0.6816,-2.2756,-2.5882
1987-10-01,-32.0418,-27.7835,-29.7264,-23.6169,-20.2954,-21.848
1987-11-01,-5.2627,-3.4095,-6.2652,-5.8082,-7.6181,-8.5733
1987-12-01,5.4017,7.3151,9.2994,5.8339,7.1137,7.85
1988-01-01,4.489,5.2461,2.5274,4.5211,4.9591,4.2095
1988-02-01,6.9335,8.4832,8.8415,4.0361,4.4839,5.2415
1988-03-01,4.1379,2.6593,4.6178,-2.1461,-2.5473,-3.1246
1988-04-01,2.2765,1.9304,1.7569,0.0156,1.7769,0.1286
1988-05-01,-1.662,-1.48,-2.5513,1.1325,0.6755,0.5404
1988-06-01,5.8121,7.6601,7.5878,4.2553,4.8052,5.4272
