SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
-0.008182,-0.004613,-0.004156,-0.008456,0.003816,0.001095
0.048506999999999995,0.042202,0.052868000000000005,0.055121,0.049791,0.057862
-0.010166,-0.014323999999999998,-0.026991,-0.017189,-0.008015,-0.014499999999999999
0.013664,0.015104,0.016166,0.008173,0.014846,0.061639
-0.012568999999999999,-0.011001,-0.023721000000000003,-0.014554000000000001,0.002942,-0.013506
-0.001394,0.003376,0.003331,0.024624,0.024510999999999998,0.020475
0.028721999999999998,0.031158,0.027524000000000003,0.021901,0.028791,0.026457
0.027937,0.013474,0.026848,0.021381999999999998,0.013266,0.021432000000000003
0.051411,0.031391,0.021695000000000002,0.032714,0.011000000000000001,0.018208
-0.012537,-0.009883999999999999,-0.012667999999999999,0.022184,0.009878,-0.0031680000000000002
0.018994999999999998,0.005001,0.013641,0.018293999999999998,0.011603,0.020391
0.01351,0.022435,0.021006999999999998,0.018066,0.025308999999999998,0.004975
0.028436,0.028022000000000002,0.022357000000000002,0.017431000000000002,0.015851,0.025038
-0.007235,-0.007455000000000001,-0.003781,-0.011383,-0.010721000000000001,-0.012473000000000001
0.031163,0.026632,0.031459,0.04503599999999999,0.022048,0.033538
0.014289000000000001,0.021636000000000002,0.025089999999999998,0.019668,0.012124999999999999,0.00025100000000000003
-0.006344,0.00036700000000000003,0.008118,0.0061470000000000006,0.003978,0.004262
-0.006051999999999999,-0.007084,-0.002565,-0.007559,0.004462,0.010358000000000001
0.062116,0.059728,0.069182,0.042042,0.018340000000000002,0.053104
0.036435,0.041618,0.039937,0.008151,0.000299,0.009335
0.011224000000000001,0.010752999999999999,0.0071530000000000005,-0.010351999999999998,-0.013595,-0.012688
0.047781000000000004,0.043503,0.04005499999999999,0.030339,0.026775000000000004,0.044035000000000005
-0.0032400000000000003,0.002317,0.0026690000000000004,0.006995,0.001127,-0.007865
-0.09574500000000001,-0.08973,-0.095604,-0.057138,-0.038223,-0.052865
0.028191,0.039298,0.020735999999999997,0.03649,0.007899,0.01652
0.049562999999999996,0.046629,0.061952,0.017118,0.019514,0.042691999999999994
0.049089999999999995,0.043859,0.031507,0.039653,0.024799,0.039485
0.068061,0.057328000000000004,0.068631,0.02265,0.011278999999999999,0.045402
0.065577,0.040808,0.046394000000000005,0.0066549999999999995,-0.010275000000000001,0.005709
0.050538999999999994,0.034544,0.039607,0.0173,0.011129,0.005371
0.076528,0.053797,0.040856,0.032251,-0.009781999999999999,0.011506
0.048632,0.021991999999999998,0.029811,-0.019921,-0.019284,-0.004522
-0.024864999999999998,-0.015146999999999999,-0.02188,-0.032641,-0.026194000000000002,-0.009538
0.057784,0.045208000000000005,0.061361,0.01837,0.021722,0.022666
-0.114132,-0.093222,-0.09432399999999999,-0.060374,-0.042175000000000004,-0.047387
-0.002114,0.010944,0.004475,-0.012855,-0.007882,-0.016364
-0.017679,-0.009651999999999999,-0.021101,-0.009265,-0.012022,-0.013023
-0.107403,-0.098296,-0.10322100000000001,-0.074928,-0.061374000000000005,-0.080817
-0.017476000000000002,-0.016499,-0.015300000000000001,0.019621,-0.003337,-0.016117
-0.008492,-0.003405,-0.025596,0.074199,0.06626699999999999,0.021768
0.029833,0.031783,0.075415,0.008865,-0.013602000000000001,0.045951000000000006
0.015161,0.022689,0.030036999999999998,-0.00046699999999999997,0.008509,-0.0013189999999999999
0.17491,0.148565,0.18924600000000003,0.079573,0.0659,0.08437900000000001
0.033873,0.026646,0.042685,-0.007067,-0.001925,0.023858999999999998
0.059219,0.066169,0.06418700000000001,0.036936,0.037574,0.049139999999999996
0.040644,0.039483000000000004,0.053229,0.030950000000000002,0.024864999999999998,0.065019
-0.010195000000000001,-0.013376999999999998,-0.021952,-0.030362,-0.040087000000000005,-0.05328
