This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202412 CRSP database.,,,,,,
It contains value- and equal-weighted returns for portfolios formed on ME and OP.,,,,,,
,,,,,,
The portfolios are constructed at the end of June.  OP is operating profits (sales - cost,,,,,,
of goods sold - selling, general and administrative expenses - interest expense) divided by book,,,,,
at the last fiscal year end of the prior calendar year.,,,,,,
Annual returns are from January to December.,,,,,,
,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,
,,,,,,
Please be aware that some of the value-weight averages of operating profitability for,,,,,,
deciles 1 and 10 are extreme. These are driven by extraordinary values of OP for,,,,,,
individual firms. We have spot checked the accounting data that produce the,,,,,,
extraordinary values and all the numbers we examined accurately reflect the,,,,,,
data in the firm�s accounting statements.,,,,,,
,,,,,,
The break points include utilities and include financials.,,,,,,
,,,,,,
The  portfolios  include utilities and include financials.,,,,,,
,,,,,,
,,,,,,
  Average Value Weighted Returns -- Monthly,,,,,,
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
196307,-0.8182,-0.4613,-0.4156,-0.8456,0.3816,0.1095
196308,4.8507,4.2202,5.2868,5.5121,4.9791,5.7862
196309,-1.0166,-1.4324,-2.6991,-1.7189,-0.8015,-1.45
196310,1.3664,1.5104,1.6166,0.8173,1.4846,6.1639
196311,-1.2569,-1.1001,-2.3721,-1.4554,0.2942,-1.3506
196312,-0.1394,0.3376,0.3331,2.4624,2.4511,2.0475
196401,2.8722,3.1158,2.7524,2.1901,2.8791,2.6457
196402,2.7937,1.3474,2.6848,2.1382,1.3266,2.1432
196403,5.1411,3.1391,2.1695,3.2714,1.1,1.8208
196404,-1.2537,-0.9884,-1.2668,2.2184,0.9878,-0.3168
196405,1.8995,0.5001,1.3641,1.8294,1.1603,2.0391
196406,1.351,2.2435,2.1007,1.8066,2.5309,0.4975
196407,2.8436,2.8022,2.2357,1.7431,1.5851,2.5038
196408,-0.7235,-0.7455,-0.3781,-1.1383,-1.0721,-1.2473
196409,3.1163,2.6632,3.1459,4.5036,2.2048,3.3538
196410,1.4289,2.1636,2.509,1.9668,1.2125,0.0251
196411,-0.6344,0.0367,0.8118,0.6147,0.3978,0.4262
196412,-0.6052,-0.7084,-0.2565,-0.7559,0.4462,1.0358
196501,6.2116,5.9728,6.9182,4.2042,1.834,5.3104
196502,3.6435,4.1618,3.9937,0.8151,0.0299,0.9335
196503,1.1224,1.0753,0.7153,-1.0352,-1.3595,-1.2688
196504,4.7781,4.3503,4.0055,3.0339,2.6775,4.4035
196505,-0.324,0.2317,0.2669,0.6995,0.1127,-0.7865
196506,-9.5745,-8.973,-9.5604,-5.7138,-3.8223,-5.2865
196507,2.8191,3.9298,2.0736,3.649,0.7899,1.652
196508,4.9563,4.6629,6.1952,1.7118,1.9514,4.2692
196509,4.909,4.3859,3.1507,3.9653,2.4799,3.9485
